attempt_uid,run_id,crate,model,node_id,attempt,difficulty_bucket,rug_retry_available_total,rug_retry_success,first_successful_retry_attempt,retry_attempts_checked,retry_status_sequence,error_codes,missing_detailed_log,missing_node,attempt_index_mismatch
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::AsRef<std::time::Duration>>::as_ref::1,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::AsRef<std::time::Duration>>::as_ref,1,single_error,3,True,4,"[2, 3, 4]","[{""attempt"": 2, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 3, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 4, ""compile_success"": true, ""strict_success"": true, ""success"": true}]",E0433,False,False,False
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::AsRef<std::time::Duration>>::as_ref::2,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::AsRef<std::time::Duration>>::as_ref,2,single_error,2,True,4,"[3, 4]","[{""attempt"": 3, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 4, ""compile_success"": true, ""strict_success"": true, ""success"": true}]",E0433,False,False,False
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::AsRef<std::time::Duration>>::as_ref::3,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::AsRef<std::time::Duration>>::as_ref,3,single_error,1,True,4,[4],"[{""attempt"": 4, ""compile_success"": true, ""strict_success"": true, ""success"": true}]",E0433,False,False,False
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::From<std::time::Duration>>::from::1,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::From<std::time::Duration>>::from,1,single_error,2,False,,"[2, 3]","[{""attempt"": 2, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 3, ""compile_success"": false, ""strict_success"": false, ""success"": false}]",E0433,False,False,False
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::From<std::time::Duration>>::from::2,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::From<std::time::Duration>>::from,2,single_error,1,False,,[3],"[{""attempt"": 3, ""compile_success"": false, ""strict_success"": false, ""success"": false}]",E0433,False,False,False
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::From<std::time::Duration>>::from::3,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::From<std::time::Duration>>::from,3,single_error,0,False,,[],[],E0433,False,False,False
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::Into<std::time::Duration>>::into::1,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::Into<std::time::Duration>>::into,1,single_error,5,False,,"[2, 3, 4, 5, 6]","[{""attempt"": 2, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 3, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 4, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 5, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 6, ""compile_success"": false, ""strict_success"": false, ""success"": false}]",E0433,False,False,False
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::Into<std::time::Duration>>::into::2,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::Into<std::time::Duration>>::into,2,single_error,4,False,,"[3, 4, 5, 6]","[{""attempt"": 3, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 4, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 5, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 6, ""compile_success"": false, ""strict_success"": false, ""success"": false}]",E0433,False,False,False
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::Into<std::time::Duration>>::into::3,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::Into<std::time::Duration>>::into,3,single_error,3,False,,"[4, 5, 6]","[{""attempt"": 4, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 5, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 6, ""compile_success"": false, ""strict_success"": false, ""success"": false}]",E0433,False,False,False
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::Into<std::time::Duration>>::into::4,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::Into<std::time::Duration>>::into,4,single_error,2,False,,"[5, 6]","[{""attempt"": 5, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 6, ""compile_success"": false, ""strict_success"": false, ""success"": false}]",E0433,False,False,False
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::Into<std::time::Duration>>::into::5,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::Into<std::time::Duration>>::into,5,single_error,1,False,,[6],"[{""attempt"": 6, ""compile_success"": false, ""strict_success"": false, ""success"": false}]",E0433,False,False,False
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::Into<std::time::Duration>>::into::6,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::Into<std::time::Duration>>::into,6,single_error,0,False,,[],[],E0433,False,False,False
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::ops::Deref>::deref::1,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::ops::Deref>::deref,1,single_error,5,False,,"[2, 3, 4, 5, 6]","[{""attempt"": 2, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 3, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 4, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 5, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 6, ""compile_success"": false, ""strict_success"": false, ""success"": false}]",E0433,False,False,False
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::ops::Deref>::deref::2,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::ops::Deref>::deref,2,single_error,4,False,,"[3, 4, 5, 6]","[{""attempt"": 3, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 4, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 5, ""compile_success"": false, ""strict_success"": false, ""success"": false}, {""attempt"": 6, ""compile_success"": false, ""strict_success"": false, ""success"": false}]",E0433,False,False,False
