attempt_uid,source_id,run_id,crate,model,target_id,target_fqn,node_id,attempt,func_key,resolution_path,rule_resolved,final_resolved,error_codes,difficulty_bucket,batch_id,strict_success,normalized_success,normalized_status,frozen_status
humantime_direct_llm_1shot::ht_001::1,direct_llm_1shot,humantime_direct_llm_1shot,humantime,gemini-2.5-flash,ht_001,<u64 as duration::OverflowOp>::add,ht_001,1,<u64 as duration::OverflowOp>::add,unresolved,False,False,E0432,single_error,humantime_direct_llm_1shot::batch_0001,False,False,normalized_unresolved,frozen_cleared
humantime_direct_llm_1shot::ht_001::2,direct_llm_1shot,humantime_direct_llm_1shot,humantime,gemini-2.5-flash,ht_001,<u64 as duration::OverflowOp>::add,ht_001,2,<u64 as duration::OverflowOp>::add,unresolved,False,False,E0432,single_error,humantime_direct_llm_1shot::batch_0002,False,False,normalized_unresolved,frozen_cleared
humantime_direct_llm_1shot::ht_003::1,direct_llm_1shot,humantime_direct_llm_1shot,humantime,gemini-2.5-flash,ht_003,<wrapper::Duration as std::convert::AsRef<std::time::Duration>>::as_ref,ht_003,1,<wrapper::Duration as std::convert::AsRef<std::time::Duration>>::as_ref,full,False,True,E0599,single_error,humantime_direct_llm_1shot::batch_0003,True,True,normalized_resolved,frozen_cleared
humantime_direct_llm_1shot::ht_003::2,direct_llm_1shot,humantime_direct_llm_1shot,humantime,gemini-2.5-flash,ht_003,<wrapper::Duration as std::convert::AsRef<std::time::Duration>>::as_ref,ht_003,2,<wrapper::Duration as std::convert::AsRef<std::time::Duration>>::as_ref,full,False,True,E0599,single_error,humantime_direct_llm_1shot::batch_0004,True,True,normalized_resolved,frozen_cleared
humantime_direct_llm_1shot::ht_005::1,direct_llm_1shot,humantime_direct_llm_1shot,humantime,gemini-2.5-flash,ht_005,<wrapper::Duration as std::convert::Into<std::time::Duration>>::into,ht_005,1,<wrapper::Duration as std::convert::Into<std::time::Duration>>::into,unresolved,False,False,E0423,single_error,humantime_direct_llm_1shot::batch_0005,False,False,normalized_unresolved,frozen_unresolved
humantime_direct_llm_1shot::ht_007::1,direct_llm_1shot,humantime_direct_llm_1shot,humantime,gemini-2.5-flash,ht_007,<wrapper::Duration as std::str::FromStr>::from_str,ht_007,1,<wrapper::Duration as std::str::FromStr>::from_str,unresolved,False,False,E0599,single_error,humantime_direct_llm_1shot::batch_0006,False,False,normalized_unresolved,frozen_unresolved
humantime_direct_llm_1shot::ht_007::2,direct_llm_1shot,humantime_direct_llm_1shot,humantime,gemini-2.5-flash,ht_007,<wrapper::Duration as std::str::FromStr>::from_str,ht_007,2,<wrapper::Duration as std::str::FromStr>::from_str,unresolved,False,False,E0599,single_error,humantime_direct_llm_1shot::batch_0007,False,False,normalized_unresolved,frozen_unresolved
humantime_direct_llm_1shot::ht_007::3,direct_llm_1shot,humantime_direct_llm_1shot,humantime,gemini-2.5-flash,ht_007,<wrapper::Duration as std::str::FromStr>::from_str,ht_007,3,<wrapper::Duration as std::str::FromStr>::from_str,full,False,True,E0599,single_error,humantime_direct_llm_1shot::batch_0008,True,True,normalized_resolved,frozen_cleared
humantime_direct_llm_1shot::ht_010::1,direct_llm_1shot,humantime_direct_llm_1shot,humantime,gemini-2.5-flash,ht_010,<wrapper::Timestamp as std::convert::Into<std::time::SystemTime>>::into,ht_010,1,<wrapper::Timestamp as std::convert::Into<std::time::SystemTime>>::into,rule,True,True,E0432,single_error,humantime_direct_llm_1shot::batch_0009,True,True,normalized_resolved,frozen_cleared
humantime_direct_llm_1shot::ht_010::2,direct_llm_1shot,humantime_direct_llm_1shot,humantime,gemini-2.5-flash,ht_010,<wrapper::Timestamp as std::convert::Into<std::time::SystemTime>>::into,ht_010,2,<wrapper::Timestamp as std::convert::Into<std::time::SystemTime>>::into,full,False,True,E0599,single_error,humantime_direct_llm_1shot::batch_0010,True,True,normalized_resolved,frozen_cleared
