attempt_uid,run_id,crate,model,node_id,attempt,func_key,resolution_path,rule_resolved,final_resolved,error_codes,difficulty_bucket,batch_id,strict_success,normalized_success,normalized_status,frozen_status
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::AsRef<std::time::Duration>>::as_ref::1,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::AsRef<std::time::Duration>>::as_ref,1,,rule,True,True,E0433,single_error,humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0001,True,True,normalized_resolved,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::AsRef<std::time::Duration>>::as_ref::2,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::AsRef<std::time::Duration>>::as_ref,2,,rule,True,True,E0433,single_error,humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0002,True,True,normalized_resolved,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::AsRef<std::time::Duration>>::as_ref::3,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::AsRef<std::time::Duration>>::as_ref,3,,rule,True,True,E0433,single_error,humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0003,True,True,normalized_resolved,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::From<std::time::Duration>>::from::1,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::From<std::time::Duration>>::from,1,,rule,True,True,E0433,single_error,humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0004,True,True,normalized_resolved,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::From<std::time::Duration>>::from::2,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::From<std::time::Duration>>::from,2,,rule,True,True,E0433,single_error,humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0005,True,True,normalized_resolved,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::From<std::time::Duration>>::from::3,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::From<std::time::Duration>>::from,3,,rule,True,True,E0433,single_error,humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0006,True,True,normalized_resolved,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::Into<std::time::Duration>>::into::1,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::Into<std::time::Duration>>::into,1,,full,False,True,E0433,single_error,humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0007,True,True,normalized_resolved,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::Into<std::time::Duration>>::into::2,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::Into<std::time::Duration>>::into,2,,full,False,True,E0433,single_error,humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0008,True,True,normalized_resolved,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::Into<std::time::Duration>>::into::3,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::Into<std::time::Duration>>::into,3,,full,False,True,E0433,single_error,humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0009,True,True,normalized_resolved,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::<wrapper::Duration as std::convert::Into<std::time::Duration>>::into::4,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,<wrapper::Duration as std::convert::Into<std::time::Duration>>::into,4,,unresolved,False,False,E0433,single_error,humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0010,False,False,normalized_unresolved,frozen_cleared
