batch_id,run_id,final_status,normalized_status,final_stage,attempt_count,rule_duration_sec,full_duration_sec,final_pending,strict_success,normalized_success,strict_normalized_delta,frozen_status
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0001,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,6.688,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0002,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,7.231,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0003,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,9.771,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0004,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,5.93,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0005,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,8.538,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0006,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,8.132,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0007,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_full,normalized_resolved,full,1,16.138,25.993,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0008,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_full,normalized_resolved,full,1,6.975,26.65,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0009,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_full,normalized_resolved,full,1,7.732,24.703,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0010,humantime_claude-3-5-haiku-20241022_20251109_133407,unresolved_after_full,normalized_unresolved,full,1,15.965,43.36,True,False,False,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0011,humantime_claude-3-5-haiku-20241022_20251109_133407,unresolved_after_full,normalized_unresolved,full,1,15.739,38.949,True,False,False,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0012,humantime_claude-3-5-haiku-20241022_20251109_133407,unresolved_after_full,normalized_unresolved,full,1,16.352,36.489,True,False,False,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0013,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,7.54,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0014,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,7.905,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0015,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,8.27,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0016,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,8.323,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0017,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,8.335,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0018,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,8.831,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0019,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,7.948,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0020,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,8.012,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0021,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,8.417,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0022,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,8.395,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0023,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,8.574,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0024,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,8.119,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0025,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,9.115,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0026,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,8.239,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0027,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,8.367,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0028,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_full,normalized_resolved,full,1,17.182,28.129,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0029,humantime_claude-3-5-haiku-20241022_20251109_133407,unresolved_after_full,normalized_unresolved,full,1,17.905,37.324,True,False,False,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0030,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,8.643,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0031,humantime_claude-3-5-haiku-20241022_20251109_133407,unresolved_after_full,normalized_unresolved,full,1,17.616,37.797,True,False,False,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0032,humantime_claude-3-5-haiku-20241022_20251109_133407,unresolved_after_full,normalized_unresolved,full,1,19.193,28.282,True,False,False,0,frozen_unresolved
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0033,humantime_claude-3-5-haiku-20241022_20251109_133407,unresolved_after_full,normalized_unresolved,full,1,20.185,27.322,True,False,False,0,frozen_unresolved
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0034,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,8.843,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0035,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,9.51,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0036,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,10.763,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0037,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,8.565,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0038,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,9.06,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0039,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,9.074,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0040,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,9.504,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0041,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,9.262,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0042,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_rule,normalized_resolved,rule,1,9.076,,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0043,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_full,normalized_resolved,full,1,19.017,23.335,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0044,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_full,normalized_resolved,full,1,18.078,26.151,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0045,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_full,normalized_resolved,full,1,18.246,27.472,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0046,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_full,normalized_resolved,full,1,17.58,25.548,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0047,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_full,normalized_resolved,full,1,13.227,18.72,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0048,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_full,normalized_resolved,full,1,12.795,21.029,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0049,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_full,normalized_resolved,full,1,19.172,25.853,False,True,True,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0050,humantime_claude-3-5-haiku-20241022_20251109_133407,unresolved_after_full,normalized_unresolved,full,1,14.01,38.423,True,False,False,0,frozen_cleared
humantime_claude-3-5-haiku-20241022_20251109_133407::batch_0051,humantime_claude-3-5-haiku-20241022_20251109_133407,resolved_by_full,normalized_resolved,full,1,19.466,29.785,False,True,True,0,frozen_cleared
